f1,f2,f3,f4,Design_Params
0.9301656880743423,0.9626613233563793,0.023136000000000004,0.4478540317647755,"[0.48405329 0.92341878 0.29188794 0.99839944 0.938807   0.58274314
 0.72789776 0.25867033 0.46628413 0.21935423 0.45191011]"
0.7414366472031914,0.9598474944185058,0.025943999999999995,0.4536462296808248,"[0.01306261 0.88060167 0.15669708 0.98771673 0.99769541 0.78468902
 0.72653102 0.36645934 0.45544781 0.16604244 0.90428102]"
0.8910245544210156,0.956821717737643,0.026839999999999996,3.964649665129195e-07,"[0.0016477  0.9581984  0.3172123  0.055146   0.99971476 0.91283096
 0.62717119 0.37201728 0.48421996 0.15415834 0.87110189]"
0.8946929986039397,0.9537692432352303,0.026744,0.7081432395997971,"[0.02666013 0.97342573 0.45968665 0.97417129 0.73213925 0.89766836
 0.63818953 0.30459093 0.43707557 0.17150401 0.81378653]"
0.9270858252058088,0.774292266119971,0.024480000000000002,0.47207670036549204,"[0.4770681  0.9589891  0.48172877 0.88189999 0.96403013 0.98756225
 0.6610109  0.36070093 0.4614726  0.12806344 0.46484598]"
0.9838050519294554,0.9656548191016044,0.023224000000000005,3.964649665129195e-07,"[0.48283345 0.88055555 0.15327889 0.99879926 0.99991655 0.85927204
 0.73716266 0.25341222 0.39398994 0.21887647 0.50895623]"
0.9165348620036131,0.9710607725505251,0.023576,0.49547832873942166,"[0.48405692 0.92341878 0.17328234 0.99839944 0.938807   0.86032581
 0.72789776 0.25854213 0.46517572 0.21970549 0.45191011]"
0.8953414253045627,0.9526552668319173,0.026055999999999996,0.47353300894220574,"[0.01670067 0.97779899 0.3178004  0.02717624 0.99403591 0.8513255
 0.73098808 0.36645934 0.45541598 0.16599087 0.90428102]"
0.917675994947496,0.961336339545878,0.024488000000000003,0.1104102064290415,"[0.48405692 0.88055557 0.16772159 0.99839944 0.99573254 0.86508057
 0.73716266 0.25651537 0.39297375 0.21887647 0.45191011]"
0.749953161654927,0.9663693310988337,0.024096000000000006,0.46232115803491947,"[0.48282513 0.9758216  0.15180723 0.97192107 0.92495356 0.85863428
 0.62570189 0.21580151 0.43998677 0.21827053 0.45477682]"
0.8779650950502098,0.9642371462540016,0.025792000000000002,0.4528359727733817,"[0.0516526  0.91586709 0.40393715 0.93702833 0.96429825 0.91914628
 0.33112574 0.18531629 0.42720308 0.16581667 0.88024765]"
0.9188608840554423,0.9692146374758697,0.023839999999999997,0.42464097154866676,"[0.43529607 0.88434925 0.24753322 0.9881659  0.9183662  0.53623152
 0.7125212  0.20607749 0.4878083  0.25822627 0.49340828]"
0.888881541360744,0.9554506337249442,0.026568,0.6117663908619193,"[0.09455796 0.97674097 0.31965334 0.98169721 0.74698213 0.15783282
 0.66609427 0.36018849 0.05310085 0.17009946 0.68504308]"
0.8838136302028307,0.9619765368247315,0.025224000000000003,0.5124408596526466,"[0.02666013 0.9141326  0.67476033 0.93766005 0.96388519 0.89766836
 0.63818953 0.18573677 0.46247645 0.16589267 0.80266068]"
